title,price,location,bedrooms,bathrooms,surface_total,surface_useful,url,description
Departamento En Venta De 4 Dorm. En Vitacura,15990.0,"Lo Matta/Las Hualtatas, La Llavería, Vitacura",4.0,4.0,,137.0,https://portalinmobiliario.com/MLC-3173990678-departamento-en-venta-de-4-dorm-en-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=40&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Oportunidad Increíble Precio! Remodelado! Preciosa Cocina!,9200.0,"Costanera Sur S.J.E De Balaguer - La Llaveria, La Llavería, Vitacura",3.0,2.0,,111.0,https://portalinmobiliario.com/MLC-1703442881-oportunidad-increible-precio-remodelado-preciosa-cocina-_JM#polycard_client=search-nordic&search_layout=grid&position=41&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Departamento En Venta De 3 Dorm. En Vitacura,14300.0,"Las Hualtatas/Los Gomeros, Pío XI, Vitacura",3.0,3.0,,149.0,https://portalinmobiliario.com/MLC-3088189374-departamento-en-venta-de-3-dorm-en-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=42&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Departamento En Venta De 4 Dorm. En Vitacura,11500.0,"Alonso De Cordova, Pío XI, Vitacura",4.0,4.0,,175.0,https://portalinmobiliario.com/MLC-1710190323-departamento-en-venta-de-4-dorm-en-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=43&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Departamento Dúplex Con Jardín,21500.0,"Estadio Croata, Vitacura",5.0,4.0,,210.0,https://portalinmobiliario.com/MLC-1595453973-departamento-duplex-con-jardin-_JM#polycard_client=search-nordic&search_layout=grid&position=44&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Departamento En Venta De 3 Dorm. En Vitacura,14900.0,"Jardín Del Este, Parque Bicentenario, Vitacura",3.0,3.0,,128.0,https://portalinmobiliario.com/MLC-3086529232-departamento-en-venta-de-3-dorm-en-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=45&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Departamento Venta Vespucio Norte Vista Despejada,14990.0,"Américo Vespucio Norte, Vitacura",3.0,4.0,,223.0,https://portalinmobiliario.com/MLC-1583944739-departamento-venta-vespucio-norte-vista-despejada-_JM#polycard_client=search-nordic&search_layout=grid&position=46&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Dúplex Con Patio,16490.0,"Espoz, Parque Bicentenario, Vitacura",3.0,3.0,,169.0,https://portalinmobiliario.com/MLC-1593131615-duplex-con-patio-_JM#polycard_client=search-nordic&search_layout=grid&position=47&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Departamento 3 Dormitorios Sector Lo Matta,14490.0,"Tiahuanaco , Depto, La Llavería, Vitacura",3.0,3.0,,116.0,https://portalinmobiliario.com/MLC-1593246383-departamento-3-dormitorios-sector-lo-matta-_JM#polycard_client=search-nordic&search_layout=grid&position=48&type=item&tracking_id=24f4cbc3-c8ae-4ae8-ab79-c53202f478c6,
Departamento En Altura En Los Acantos,10900.0,"Parque Bicentenario, Vitacura",3.0,2.0,,139.0,https://portalinmobiliario.com/MLC-1696306629-departamento-en-altura-en-los-acantos-_JM#polycard_client=search-nordic&search_layout=grid&position=1&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Departamento Con Vista Despejada A Pasos De La Cepal,12800.0,"Parque Bicentenario, Vitacura",2.0,3.0,,112.0,https://portalinmobiliario.com/MLC-3108053248-departamento-con-vista-despejada-a-pasos-de-la-cepal-_JM#polycard_client=search-nordic&search_layout=grid&position=2&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Departamento Con Vista Despejada Al Club De Polo,21000.0,"Borde Río - Casa Piedra, Vitacura",3.0,4.0,,169.0,https://portalinmobiliario.com/MLC-3180303298-departamento-con-vista-despejada-al-club-de-polo-_JM#polycard_client=search-nordic&search_layout=grid&position=3&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Depto Amplio Remodelado En Venta 3 Dorm. Mas Ss. En Vitacura,15400.0,"Vespucio Norte / Francisco De Aguirre, Borde Río - Casa Piedra, Vitacura",3.0,3.0,,190.0,https://portalinmobiliario.com/MLC-1674742281-depto-amplio-remodelado-en-venta-3-dorm-mas-ss-en-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=4&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Departamento En Venta De 3 Dorm. En Vitacura,11500.0,"Frente Al Parque Arauco, Villa El Dorado, Vitacura",3.0,2.0,,140.0,https://portalinmobiliario.com/MLC-1710917023-departamento-en-venta-de-3-dorm-en-vitacura-_JM#polycard_client=search-nordic&search_layout=grid&position=5&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Departamento En Sector Alonso De Córdova,13500.0,"Parque Bicentenario, Vitacura",3.0,4.0,,121.0,https://portalinmobiliario.com/MLC-1676586955-departamento-en-sector-alonso-de-cordova-_JM#polycard_client=search-nordic&search_layout=grid&position=6&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
Luminoso Departamento En Condominio,19400.0,"Jardín Del Este, Vitacura",3.0,4.0,,171.0,https://portalinmobiliario.com/MLC-1672753303-luminoso-departamento-en-condominio-_JM#polycard_client=search-nordic&search_layout=grid&position=7&type=item&tracking_id=049b7d07-4140-499c-b68b-c331186b590c,
